"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"866804732802678784","","","2017-05-22 23:55:27 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","擬装という書き方知らなかった。辞書上では使い分けはないけど、カムフラージュの意味では擬装みたいな雰囲気があるのかな。","","","",""
"866804556100915200","","","2017-05-22 23:54:45 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @betafujihara: 「なんっすか？　この写真」
「スウェーデン海軍の軽巡イェータ・レヨンの写真」
「はぁ？」
「このへんに、こう……」
「うわ！　上手く擬装してますね！」 https://t.co/AATbX9KjiA","866627406106304512","175057847","2017-05-22 12:10:49 +0000","https://twitter.com/betafujihara/status/866627406106304512/photo/1,https://twitter.com/betafujihara/status/866627406106304512/photo/1,https://twitter.com/betafujihara/status/866627406106304512/photo/1,https://twitter.com/betafujihara/status/866627406106304512/photo/1"
"866804522693165056","","","2017-05-22 23:54:37 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","救われるために子供を持ったのだ #n575","","","",""
"866804496030093312","","","2017-05-22 23:54:30 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @rhetorico: そういう意味では、救われるために子供を持ったのだ。でもそれは子供が赤ん坊のうちに解決しなければと思った。そして解決した。","866804323161841664","43727800","2017-05-22 23:53:49 +0000",""
"866804483338100736","","","2017-05-22 23:54:27 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @rhetorico: 私が子供を産んだのは「子供を産んだらわかるわよ」って母に言われてきたからだ。産むまではわからないから認めない、という言説は呪いのように効いていて、ずっとしんどかったが、産んで確信が持てた。母が間違っていたと。","866803873884786689","43727800","2017-05-22 23:52:02 +0000",""
"866802944049504256","","","2017-05-22 23:48:20 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","8:48 始業。","","","",""
"866802687215411200","866796749851049984","520310330","2017-05-22 23:47:19 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ahahsak おはおはー！！","","","",""
"866797558139461632","","","2017-05-22 23:26:56 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @tiny_yarou: 小学生たちとレトロゲームをプレイする機会があったんだけど、ゲームオーバーになるとみんなすぐやめてしまう。圧倒的に良く聞いたセリフは「また最初から？」だった。それまでの努力が無になることが耐えられないっぽい。一時期言われた「リセット世代」ではなく、…","866600815963758593","107936020","2017-05-22 10:25:09 +0000",""
"866795434857046016","","","2017-05-22 23:18:30 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","性だな〜","","","",""
"866795348668293120","","","2017-05-22 23:18:10 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @peko_pekon: 「女性だと思ってました」でｶﾞｯｶﾘされるのはまあまだいいとして、それ以降まったく絡まなくなるのは露骨すぎて逆に笑えてくる","866510232859549696","110476172","2017-05-22 04:25:13 +0000",""
"866795183605653504","","","2017-05-22 23:17:30 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @nyontan: 新入社員が先輩（高卒）に「ちょっと何言ってるかわかんないっす、大学卒業してきてもらっていいですか」って言っててすごい。","866564581778378752","4978251","2017-05-22 08:01:10 +0000",""
"866794658550042629","","","2017-05-22 23:15:25 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","いい話","","","",""
"866794621174562817","","","2017-05-22 23:15:16 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @shinkaibot99: 知り合いから聞いた欝な話。臨終のおばあちゃんがなにかつぶやいているので耳を傾けたところ「な～んもいいことない人生やった…」と言って亡くなった。気まずい雰囲気になったが、しばらくして親戚の間では「なんも言うことない人生やった」と言っていたことに…","866209191198826496","2798490355","2017-05-21 08:28:59 +0000",""
"866794285487738880","","","2017-05-22 23:13:56 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","生殖は悪い","","","",""
"866794240277225472","","","2017-05-22 23:13:45 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @808Towns: 和訳が欲しいな。日本語圏男性にも読んで欲しいな。
英語読める方は、是非読んで
https://t.co/LX1KZa4gw6","866781371913478144","116460955","2017-05-22 22:22:37 +0000","https://english.emmaclit.com/2017/05/20/you-shouldve-asked/,https://english.emmaclit.com/2017/05/20/you-shouldve-asked/"
"866792469119213568","","","2017-05-22 23:06:43 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","いい話だ","","","",""
"866792358465028097","","","2017-05-22 23:06:17 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @techi_twisted: 芸能人結婚ラッシュについて妻の口から「何でお金あるのに結婚するかな？」って聞きたくない感じの感想が出てきた","652095374610427904","265351499","2015-10-08 12:17:07 +0000",""
"866792077706788864","","","2017-05-22 23:05:10 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @HinakoSays: これ多分「Curious George」の邦題が「おさるのジョージ」だからだ…！やっちまったな…！！ https://t.co/NFnQI5oSU5","866210130852958209","607628603","2017-05-21 08:32:43 +0000","https://twitter.com/fodaboy/status/866185467766517760,https://twitter.com/fodaboy/status/866185467766517760"
"866791911121600512","","","2017-05-22 23:04:30 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @fodaboy: 「メッセージ」のジェレミー・レナー版ビジュアル内に見られる日本語「おさる」が気になる。 https://t.co/Ly25IaPHre","866185467766517760","85009405","2017-05-21 06:54:43 +0000","https://twitter.com/fodaboy/status/866185467766517760/photo/1,https://twitter.com/fodaboy/status/866185467766517760/photo/1"
"866791038228221952","","","2017-05-22 23:01:02 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @daioki: ToHeart20周年とのこと。僕がプレイしたPS版はそれよりちょっとあとで僕が高校入学してすぐ発売。それをプレイするために放課後は直帰。一ヶ月くらいしてToHeartは全て攻略。僕もこんな高校生活が送れるかな〜とか思ったけど、放課後クラスのみんなが交流…","866784111968403456","14123402","2017-05-22 22:33:31 +0000",""
"866788179277266944","","","2017-05-22 22:49:40 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @Willway_ER: 私大卒の研修医で、その時点での「月のお小遣い100万円。それが普通だと思ってた」という奴がいた。
それが本当なら、逆に偉いと思った。
26歳にもなって親から小遣いで100万円もらえる環境だったら、俺は国試の勉強なんてやる気にならん。 https:…","866649192705413121","137994509","2017-05-22 13:37:23 +0000","https://twitter.com/Willway_ER/status/866644724664352769"
